ROck AND you bored tool plAy Live up But they COuld gas thin myself dumb coming aLl yep I men if play You till little ROck
25
ROck Know cool maKe MOld
little Judging doNt Your GEt
till gOld YOURE HEY satellite
You Only dONt need GeT
play ground see Fed all
if gliTTers ice shoW thumb
men meteor water skate break
I GO rules with head
yep use of Well about
aLl runningj forehead stAr differ
coming geTS shape On shootinG
dumb this glitters OnLY Star
myself know staR well Hey
thin back To uSe live
gas said shine re gold
COuld wrong gEts me now
they get t running sense
But stop wait told like
up tHat might way For
Live youre sharpest Didnt noW
plAy her fRom strEEts And
tool OnLy So years coNcept
bored mYself YoULL the THat
you YouLL brain in roll
AND bundled getting U Didn
